image,name,orientation,title,title2,type,trigger1,triggerValue1,rules1,boostable1,rulesValue1,trigger2,triggerValue2,rules2,boostable2,rulesValue2
IntelligentRodents.png,card.01,vertical,Intelligent Rodents,,flesh,Before you graverob,1,Add the top {n} cards of the deck to the morgue.,TRUE,0,Before you rant,2,Discard any number of cards.,,0
BrainInAJar.png,card.02,vertical,Brain in a Jar,,flesh,When you finish this,0,"Discard a finished gadget, and gain 2 minions of the same type.",,1,After you Craft using metal,0,Draw 2 cards and discard a card from the morgue.,,2
GlowyGreenThings.png,card.03,vertical,Glowy green things,,flesh,Always,A,Your finished gadgets may hold +{n} tokens each.,TRUE,2,When you Transmute,1,"Discard a finished gadget, and gain 2 minions of the same type.",,1
HumanoidCat.png,card.04,vertical,Humanoid Cat,,flesh,When you finish this,0,Hypnotize {n} cards from the morgue.,TRUE,3,After you are Transmuted,0,Hypnotize a minion from your hand.,,2
BoneTeleportationNetwork.png,card.05,vertical,Bone Tele-Network,,flesh,When you Tinker,1,Discard a token from a finished gadget to gain a Repairman minion.,,1,When you rant,2,Draw 2 cards then discard 2 cards.,,1
ZombieCannon.png,card.06,vertical,Zombie Cannon,,flesh,When you finish this,0,Discard all flesh cards from the morgue. Add 2 tokens to this for each.,,2,Always,A,+3 infamy.,,2
Biggerizer.png,card.07,vertical,Biggerizer,,trash,When you finish this,0,Add a {n} tokens to every card in play.,TRUE,1,When you are Transmuted,0,Draw a card and then add a token to {n} of your gadgets.,TRUE,2
VolcanicProbe.png,card.08,vertical,Volcanic Probe,,trash,After you Rant,2,"Draw up to 4 additional cards. If you do, return this to your hand.",,1,When an opponent plays a wild,1,Rant.,,2
RevivificationMatrix.png,card.09,vertical,Revivification Matrix,,trash,When you finish this,0,Swap this with a card in the morgue.,,1,When you Repair,1,Discard a minion to finish the top card of the deck.,,1
TissueDisruptor.png,card.10,vertical,Tissue Disruptor,,trash,When you finish this,0,"Discard this to immediately finish a card in your hand, then draw a card.",,2,After you Tinker,1,Rotate up to {n} of your finished gadgets.,TRUE,1
EthericCompass.png,card.11,vertical,Etheric Compass,,trash,When you Transmute,1,Discard a card from your hand to gain access to a gadget.,,1,After turns where you Tinker,0,Rant,,2
PollutionAmplifier.png,card.12,vertical,Pollution Amplifier,,trash,After you Tinker,1,Draw a card then discard a card from the morgue.,,1,Before you Craft,1,Draw a card. Discard a card to add a token to an unfinished gadget.,,1
HelperBot.png,card.13,vertical,Helper-bot,,steam,After you play a wild role,1,Draw {n} cards.,TRUE,3,When you finish this,0,Discard every card in your hand. Add 2{x} as many tokens to finished gadgets.,,3
GravityEngine.png,card.14,vertical,Gravity Engine,,steam,When you Craft,1,Discard a card from the morgue. Add a token to an unfinished gadget,,2,When you are Transmuted,0,Draw {n} cards.,TRUE,3
TemporalClacker.png,card.15,vertical,Temporal Clacker,,steam,After you Repair,1,Discard a card from your hand and then Rant.,,2,When you Craft,1,Add {n} tokens to any boostable gadget you complete.,TRUE,3
NefariousTurbine.png,card.16,vertical,Nefarious Turbine,,steam,When you finish this,0,Exchange a tucked card for an opponent's gadget of the same total infamy.,,3,Always,A,You are immune to Transmutation.,,3
Birdbath.png,card.17,vertical,Birdbath,,steam,When you finish this,0,Discard the cards in the morgue. Add their infamy to your gadgets as tokens.,,3,When you rant,2,Discard n minions to finish the top card of the deck n times.,,2
Personificationizer.png,card.18,vertical,Personificationizer,,steam,When you build,1,You may treat any gadget as flesh if it needs only 1 more material to finish.,,2,Always,A,Your unfinished metal gadgets provide you with infamy.,,3
